Date,kp,ap,sn,f107
2015-01-01,1.499875,5.75,104,137.5
2015-01-02,2.33325,11.25,122,145.8
2015-01-03,2.25,12.375,102,148.7
2015-01-04,2.875,18.375,105,149.7
2015-01-05,2.666625,15.375,88,141.9
2015-01-06,2.583375,12.5,89,141.9
2015-01-07,3.4998749999999994,31.25,103,147.2
2015-01-08,2.5835,12.625,99,157.2
2015-01-09,1.75,6.375,111,151.2
2015-01-10,2.0415,9.125,106,151.9
2015-01-11,2.291625,9.75,122,153.7
2015-01-12,1.749875,6.875,124,158.6
2015-01-13,1.875125,7.375,101,-1.0
2015-01-14,1.500125,5.875,80,141.8
2015-01-15,1.124875,5.0,59,131.4
2015-01-16,1.666625,6.625,52,124.7
2015-01-17,1.41675,6.125,40,121.9
2015-01-18,0.8748750000000001,3.625,68,125.8
2015-01-19,0.958375,3.875,66,130.0
2015-01-20,0.49987500000000007,2.125,56,125.6
2015-01-21,2.291625,10.625,43,123.9
2015-01-22,2.5,11.75,50,120.3
2015-01-23,2.000125,8.0,60,121.1
2015-01-24,1.416625,5.5,59,125.3
2015-01-25,1.250125,5.125,62,126.6
2015-01-26,2.9582499999999996,15.125,109,147.0
2015-01-27,2.541625,11.375,126,158.1
2015-01-28,1.666625,7.125,141,159.3
2015-01-29,1.8752499999999999,8.25,146,171.8
2015-01-30,2.125,9.375,153,159.4
2015-01-31,2.0415,8.75,138,153.5
2015-02-01,3.25,20.375,113,141.7
2015-02-02,3.8751249999999997,26.875,93,144.0
2015-02-03,3.0,15.75,89,149.3
2015-02-04,1.875,7.75,96,154.4
2015-02-05,2.4998750000000003,11.5,93,141.9
2015-02-06,1.291625,5.125,89,143.3
2015-02-07,2.041625,9.25,76,153.0
2015-02-08,2.333375,9.875,84,152.8
2015-02-09,1.70825,7.0,88,145.8
2015-02-10,1.458375,6.125,84,141.0
2015-02-11,1.25,5.375,60,131.1
2015-02-12,1.041625,4.0,51,127.6
2015-02-13,0.416625,1.875,62,124.9
2015-02-14,0.49987500000000007,2.25,53,120.4
2015-02-15,1.500125,6.125,65,119.6
2015-02-16,1.25,5.125,41,118.1
2015-02-17,3.5417500000000004,22.125,39,118.5
2015-02-18,3.083375,18.25,87,121.0
2015-02-19,2.041875,8.25,89,118.7
2015-02-20,1.333625,5.0,64,119.7
2015-02-21,1.708375,7.0,58,116.1
2015-02-22,1.624875,6.25,43,117.5
2015-02-23,3.125,16.25,46,116.8
2015-02-24,3.416625,24.875,44,114.4
2015-02-25,1.875,8.25,21,111.0
2015-02-26,0.8748750000000001,3.5,22,111.3
2015-02-27,0.49987500000000007,2.25,58,118.0
2015-02-28,2.41675,11.25,60,123.4
2015-03-01,3.416625,25.875,65,127.6
2015-03-02,3.833375,27.5,52,130.4
2015-03-03,2.33325,10.25,42,125.1
2015-03-04,2.0,8.875,37,124.2
2015-03-05,1.3331250000000001,5.125,26,140.2
2015-03-06,2.2501249999999997,10.0,35,127.4
2015-03-07,3.541625,20.875,17,137.8
2015-03-08,2.29175,10.625,28,124.2
2015-03-09,1.124875,5.25,23,122.9
2015-03-10,0.9998750000000001,4.0,27,120.9
2015-03-11,2.0,8.625,44,131.7
2015-03-12,1.83325,7.625,56,126.7
2015-03-13,1.33325,5.875,76,119.4
2015-03-14,1.33325,5.25,55,115.6
2015-03-15,1.70825,6.5,53,114.4
2015-03-16,2.3333749999999993,11.5,46,117.2
2015-03-17,6.000125000000001,107.5,38,114.3
2015-03-18,4.916625,46.625,41,114.8
2015-03-19,3.791625,25.875,49,109.3
2015-03-20,3.499999999999999,22.375,20,112.7
2015-03-21,2.458375,11.875,26,113.6
2015-03-22,2.8748750000000003,23.75,81,122.4
2015-03-23,3.2917500000000004,18.625,99,128.1
2015-03-24,2.166625,9.75,108,133.0
2015-03-25,2.75,13.125,99,137.8
2015-03-26,1.916625,7.625,105,136.1
2015-03-27,1.8747500000000001,7.625,101,137.8
2015-03-28,1.91675,8.0,81,145.6
2015-03-29,2.375,10.875,72,144.5
2015-03-30,1.000125,4.0,51,133.6
2015-03-31,2.041625,9.0,38,128.1
2015-04-01,1.70825,6.75,43,124.1
2015-04-02,2.416625,12.5,35,121.3
2015-04-03,2.666625,12.125,35,119.9
2015-04-04,2.458375,11.0,54,122.4
2015-04-05,1.54175,6.25,55,122.2
2015-04-06,1.375125,5.375,53,125.6
2015-04-07,0.95825,3.875,51,111.2
2015-04-08,0.708375,2.875,43,106.0
2015-04-09,2.5417500000000004,11.0,47,111.3
2015-04-10,4.083125,33.0,41,115.1
2015-04-11,3.0,16.5,59,122.9
2015-04-12,0.791625,3.375,86,133.9
2015-04-13,1.499875,5.75,103,141.3
2015-04-14,2.25,13.125,105,146.8
2015-04-15,3.7501250000000006,27.5,96,154.7
2015-04-16,4.6667499999999995,41.75,100,150.2
2015-04-17,3.4167500000000004,22.25,117,149.6
2015-04-18,2.375,9.875,140,147.6
2015-04-19,2.041625,8.0,137,151.7
2015-04-20,2.166625,9.5,128,149.6
2015-04-21,3.5832499999999996,21.75,127,153.8
2015-04-22,2.291625,9.5,138,150.3
2015-04-23,1.25,5.625,117,140.5
2015-04-24,0.7915000000000001,3.375,83,134.5
2015-04-25,0.08325,0.5,69,125.9
2015-04-26,0.33325000000000005,1.625,65,118.5
2015-04-27,1.083375,4.125,47,107.5
2015-04-28,1.33325,5.125,41,107.7
2015-04-29,0.875,3.625,30,104.0
2015-04-30,1.0,4.125,15,101.8
2015-05-01,1.25,4.75,19,99.9
2015-05-02,1.79175,7.375,34,105.7
2015-05-03,1.749875,7.625,44,111.1
2015-05-04,1.75,6.75,103,123.4
2015-05-05,1.333375,5.125,104,127.8
2015-05-06,3.4582500000000005,22.5,124,136.2
2015-05-07,1.5418749999999999,5.75,145,146.6
2015-05-08,1.3336249999999998,5.375,150,149.8
2015-05-09,1.5832499999999998,7.0,139,154.5
2015-05-10,2.04175,9.25,163,159.9
2015-05-11,2.7917500000000004,13.875,163,163.0
2015-05-12,2.958375,14.625,165,163.2
2015-05-13,4.874999999999999,45.625,172,157.0
2015-05-14,2.041625,8.375,164,145.1
2015-05-15,1.75,6.5,124,136.5
2015-05-16,1.20825,4.625,103,131.0
2015-05-17,1.166625,4.5,89,119.6
2015-05-18,2.4998750000000003,14.75,101,115.0
2015-05-19,2.375,13.125,77,110.3
2015-05-20,1.500125,6.125,59,105.6
2015-05-21,0.45825,2.125,50,101.8
2015-05-22,0.49987500000000007,2.25,73,99.1
2015-05-23,0.6251249999999999,2.75,72,97.7
2015-05-24,0.9165000000000001,3.75,78,98.7
2015-05-25,0.416625,2.125,67,96.5
2015-05-26,1.416625,5.375,53,94.5
2015-05-27,1.08325,4.25,14,95.2
2015-05-28,1.58325,5.875,12,93.0
2015-05-29,1.75,6.25,33,92.3
2015-05-30,1.083375,4.25,31,95.0
2015-05-31,1.125,4.375,29,94.3
2015-06-01,1.541625,6.5,27,100.4
2015-06-02,0.291375,1.75,44,101.0
2015-06-03,0.75,3.25,49,108.5
