Date,kp,ap,sn,f107
2000-01-03,2.625,12.0,80,133.1
2000-01-02,3.1665,16.5,75,132.9
2000-01-04,2.7498750000000003,12.875,95,134.7
2000-01-05,3.3748750000000003,19.25,108,136.5
2000-01-06,3.2915,19.0,126,144.8
2000-01-07,2.33325,10.0,126,149.8
2000-01-08,1.29175,4.875,111,154.7
2000-01-09,0.6665000000000001,2.75,112,160.6
2000-01-10,1.54175,6.25,96,163.2
2000-01-11,3.416625,24.375,133,177.6
2000-01-12,2.333375,10.375,198,195.7
2000-01-13,2.1666250000000002,8.875,226,202.0
2000-01-14,1.875,7.625,242,201.3
2000-01-15,1.541625,5.625,232,210.7
2000-01-01,4.08325,30.125,71,129.9
2000-01-16,1.5,5.5,241,207.7
2000-01-17,0.58325,2.625,193,196.4
2000-01-18,0.708375,3.125,177,194.6
2000-01-19,1.125,5.0,168,178.6
2000-01-20,2.375,10.375,140,170.7
2000-01-21,0.291625,1.5,130,159.3
2000-01-22,3.24975,22.25,124,150.6
2000-01-23,3.2501250000000006,29.0,121,140.5
2000-01-24,2.7082499999999996,13.125,118,140.7
2000-01-25,1.791625,6.875,126,137.4
2000-01-26,1.83325,7.75,114,140.7
2000-01-27,2.9998750000000003,16.75,103,132.4
2000-01-28,4.20825,31.75,89,152.0
2000-01-29,4.2082500000000005,30.375,90,127.7
2000-01-30,2.958375,14.875,75,132.7
2000-01-31,2.45825,10.375,86,138.6
2000-02-01,2.041625,8.375,104,138.1
2000-02-02,2.0,8.375,94,144.4
2000-02-03,2.208375,10.375,119,154.1
2000-02-04,1.333375,5.0,145,167.4
2000-02-05,1.9165,11.875,153,167.8
2000-02-06,4.333375,34.125,200,177.7
2000-02-07,4.16675,30.875,191,181.9
2000-02-08,2.9585,15.25,188,173.6
2000-02-09,2.375125,11.0,160,199.0
2000-02-10,2.416625,10.375,179,175.7
2000-02-11,3.125,17.375,167,170.2
2000-02-12,5.125,60.375,166,163.2
2000-02-13,2.916625,14.5,158,159.9
2000-02-14,4.291625,32.75,175,158.7
2000-02-15,3.041625,17.375,173,156.0
2000-02-16,1.791625,7.0,192,160.2
2000-02-17,1.4168749999999999,5.75,160,168.4
2000-02-18,0.208125,1.25,153,141.1
2000-02-19,0.7501249999999999,3.0,131,144.8
2000-02-20,1.083375,5.375,112,153.3
2000-02-21,3.3752500000000003,21.0,135,152.1
2000-02-22,1.500125,5.625,147,172.3
2000-02-23,2.16675,10.75,139,185.1
2000-02-24,4.125125,30.0,180,192.2
2000-02-25,3.4582499999999996,20.375,192,210.4
2000-02-26,3.041625,15.875,211,214.8
2000-02-27,2.7498749999999994,13.0,220,227.3
2000-02-28,3.0,15.875,222,218.8
2000-02-29,1.6665,6.875,238,219.0
2000-03-01,3.4998749999999994,21.0,217,232.8
2000-03-02,2.04175,11.0,204,213.2
2000-03-03,1.249875,4.875,179,203.8
2000-03-04,0.7501249999999999,3.0,178,200.2
2000-03-05,1.5,6.125,178,220.3
2000-03-06,2.625,12.0,203,222.4
2000-03-07,3.125,16.25,244,221.8
2000-03-08,2.7917500000000004,14.125,228,214.9
2000-03-09,1.04175,4.25,229,205.8
2000-03-10,1.95825,8.875,215,203.4
2000-03-11,2.5833749999999993,12.625,200,203.2
2000-03-12,3.25,18.875,192,203.2
2000-03-13,0.958375,3.875,190,188.1
2000-03-14,1.500125,5.5,181,182.6
2000-03-15,0.33325000000000005,1.75,162,177.8
2000-03-16,0.375,1.75,157,184.4
2000-03-17,1.125,4.25,149,192.4
2000-03-18,1.333375,5.5,159,194.8
