Date,kp,ap,sn,f107
2005-01-01,3.1248750000000003,17.5,49,98.9
2005-01-02,4.416625,37.0,49,100.0
2005-01-03,3.3335,18.875,37,94.2
2005-01-04,3.833125,25.5,22,88.0
2005-01-05,3.1665,17.125,17,86.9
2005-01-06,1.041625,4.5,18,83.2
2005-01-07,3.0,39.75,17,83.5
2005-01-08,3.75,36.125,15,87.3
2005-01-09,0.916625,4.25,22,87.5
2005-01-10,1.541625,6.25,29,90.1
2005-01-11,2.70825,13.75,42,94.2
2005-01-12,4.249875,32.25,61,102.1
2005-01-13,2.9167500000000004,14.625,63,115.6
2005-01-14,2.6248750000000003,16.0,83,129.8
2005-01-15,3.208375,18.375,91,144.9
2005-01-16,3.08325,16.125,100,144.5
2005-01-17,5.20825,57.75,98,137.5
2005-01-18,5.9167499999999995,84.0,94,124.3
2005-01-19,5.041625,59.875,69,132.5
2005-01-20,3.0,16.75,65,122.7
2005-01-21,4.33325,65.875,69,113.5
2005-01-22,4.000125,32.875,48,102.2
2005-01-23,3.333375,18.625,40,95.8
2005-01-24,2.250125,9.625,43,94.6
2005-01-25,0.958375,3.875,49,94.1
2005-01-26,0.54175,2.625,35,89.3
2005-01-27,0.49987500000000007,2.25,31,86.9
2005-01-28,1.5002499999999999,6.375,31,84.9
2005-01-29,3.3748750000000003,19.875,29,86.4
2005-01-30,3.041625,16.625,34,85.5
2005-01-31,3.125125,18.875,40,86.2
2005-02-01,1.29175,5.5,28,83.7
2005-02-02,2.0,8.625,25,81.8
2005-02-03,1.916625,9.375,16,83.0
2005-02-04,0.79175,3.125,22,82.1
2005-02-05,0.45825000000000005,2.125,24,94.6
2005-02-06,2.083375,9.5,57,97.0
2005-02-07,3.875,30.125,57,103.1
2005-02-08,4.20825,32.125,52,108.2
2005-02-09,3.833375,25.0,58,108.6
2005-02-10,3.5001249999999997,20.625,72,114.1
2005-02-11,2.58325,11.875,78,114.1
2005-02-12,1.125,4.375,84,116.4
2005-02-13,0.91675,3.75,72,115.5
2005-02-14,1.416625,5.375,72,118.1
2005-02-15,0.8748750000000001,3.625,78,121.7
2005-02-16,2.7915,14.0,67,112.8
2005-02-17,1.458375,6.5,64,111.3
2005-02-18,3.875,32.125,55,104.2
2005-02-19,2.916625,15.5,46,98.5
2005-02-20,2.6248750000000003,14.0,40,95.7
2005-02-21,1.375,6.125,30,94.5
2005-02-22,0.958375,3.75,30,92.3
2005-02-23,0.8332499999999999,3.5,24,84.6
2005-02-24,1.2081250000000001,5.125,16,80.3
2005-02-25,2.1665,9.375,12,78.2
2005-02-26,2.4582500000000005,10.5,18,76.6
2005-02-27,1.79175,7.75,12,75.8
2005-02-28,2.708375,12.75,10,75.0
2005-03-01,2.458125,11.25,0,73.7
2005-03-02,2.7498749999999994,14.125,13,74.6
2005-03-03,1.08325,4.25,15,77.0
2005-03-04,0.45825000000000005,2.25,13,78.9
2005-03-05,2.3748750000000003,11.125,15,81.2
2005-03-06,4.416625,36.875,16,83.6
2005-03-07,4.625,39.875,29,87.0
2005-03-08,4.0,29.375,53,93.5
2005-03-09,3.708375,25.125,61,99.9
2005-03-10,2.8333749999999993,14.375,66,101.6
2005-03-11,1.291625,5.0,70,104.9
2005-03-12,0.7917500000000001,3.25,68,110.1
2005-03-13,1.20825,5.375,68,113.8
2005-03-14,3.208375,19.125,65,111.5
2005-03-15,0.958375,3.75,60,108.2
2005-03-16,1.54175,6.25,45,104.6
2005-03-17,2.5832499999999996,13.125,40,101.7
2005-03-18,1.875125,10.125,40,96.5
2005-03-19,1.833375,11.125,42,93.0
2005-03-20,0.8748750000000001,3.625,40,89.0
2005-03-21,1.5831250000000001,7.5,48,89.8
2005-03-22,0.666625,3.0,45,87.3
2005-03-23,0.916625,3.625,52,87.7
2005-03-24,1.125125,4.75,66,87.1
2005-03-25,3.3335,19.75,55,82.1
2005-03-26,3.0001249999999997,15.875,42,77.7
2005-03-27,2.7917500000000004,13.625,36,78.4
2005-03-28,1.08325,4.25,16,79.7
2005-03-29,0.91675,4.0,15,78.8
2005-03-30,1.7085,7.25,11,77.6
2005-03-31,2.08325,9.375,24,76.7
2005-04-01,1.291625,5.0,26,78.3
2005-04-02,0.666625,3.0,32,80.2
2005-04-03,1.3335,5.0,45,81.1
2005-04-04,3.291625,26.375,53,84.8
2005-04-05,4.5,49.5,56,88.3
2005-04-06,2.3751249999999997,10.5,46,88.0
2005-04-07,1.66675,6.5,45,87.8
2005-04-08,0.7498750000000001,3.375,43,87.7
2005-04-09,0.6248750000000001,2.75,43,88.4
2005-04-10,0.49987499999999996,2.375,43,88.3
2005-04-11,1.958375,10.875,21,87.5
2005-04-12,4.0415,30.0,34,84.9
2005-04-13,4.125,30.5,46,83.5
2005-04-14,2.9998750000000003,15.625,56,85.4
2005-04-15,2.7085,13.0,57,84.9
2005-04-16,1.5,6.125,45,82.9
2005-04-17,1.041625,4.25,42,83.6
2005-04-18,1.708375,6.5,42,81.3
2005-04-19,1.75,6.75,42,78.2
2005-04-20,3.25,19.875,38,77.0
2005-04-21,0.583375,2.625,26,77.1
2005-04-22,1.833375,7.875,26,77.2
2005-04-23,1.416625,5.5,22,79.3
2005-04-24,1.9585,7.875,14,82.3
2005-04-25,1.958375,8.25,16,86.0
2005-04-26,0.5417500000000001,2.5,18,90.9
2005-04-27,0.33325000000000005,1.375,27,95.3
2005-04-28,0.5415,2.25,48,98.0
2005-04-29,2.083375,9.75,56,105.0
2005-04-30,3.7082499999999996,24.125,54,106.4
2005-05-01,3.583375,22.375,61,111.6
2005-05-02,1.83325,6.75,61,112.2
2005-05-03,2.125125,8.875,68,112.3
2005-05-04,1.166625,4.75,62,108.7
2005-05-05,1.041625,4.125,58,109.1
2005-05-06,1.041625,3.875,65,110.4
2005-05-07,1.91675,10.5,54,99.9
2005-05-08,5.75,91.375,67,101.3
2005-05-09,2.1251249999999997,10.125,91,110.0
2005-05-10,1.875,7.125,111,119.2
2005-05-11,2.33325,12.0,119,125.3
2005-05-12,2.875,14.5,116,117.4
2005-05-13,3.4167500000000004,21.125,90,125.9
2005-05-14,1.541625,5.75,74,99.5
2005-05-15,5.66675,87.375,56,103.0
2005-05-16,4.25,41.25,62,99.1
2005-05-17,2.958375,16.0,48,90.0
2005-05-18,1.874875,7.375,38,83.8
2005-05-19,1.833375,7.125,33,84.7
2005-05-20,3.458375,22.625,22,83.5
2005-05-21,3.2085,17.75,19,81.9
2005-05-22,2.0,8.875,35,82.1
2005-05-23,1.0835000000000001,4.375,36,83.4
2005-05-24,0.70825,3.0,36,85.2
2005-05-25,0.8748750000000001,3.5,43,83.8
2005-05-26,0.24975,1.5,64,90.4
2005-05-27,0.33325,1.625,64,95.5
2005-05-28,2.25,11.625,54,92.5
2005-05-29,3.125,20.25,62,92.7
2005-05-30,5.791625000000001,89.5,67,94.9
2005-05-31,2.7917500000000004,13.5,84,96.3
2005-06-01,1.54175,6.25,76,94.3
2005-06-02,1.5,5.875,58,93.3
2005-06-03,1.625125,6.0,48,95.3
2005-06-04,3.1248750000000003,22.0,71,96.9
2005-06-05,3.166625,17.0,89,105.4
2005-06-06,2.0835,10.25,92,106.0
2005-06-07,2.75,13.125,105,109.1
2005-06-08,1.041625,4.25,98,115.7
2005-06-09,1.125125,4.375,97,116.1
2005-06-10,0.583625,2.625,101,114.3
2005-06-11,1.125125,4.375,79,108.0
2005-06-12,4.458375,53.875,75,103.0
2005-06-13,3.833375,32.125,45,91.8
2005-06-14,2.2085,11.25,48,93.8
2005-06-15,2.8332499999999996,16.0,58,94.5
2005-06-16,3.4167499999999995,25.5,62,98.1
2005-06-17,2.5835,13.75,69,90.8
2005-06-18,1.45825,5.375,46,90.0
2005-06-19,1.166625,4.5,42,86.9
2005-06-20,0.708375,3.0,45,86.1
2005-06-21,0.291625,1.375,49,82.8
2005-06-22,1.375125,5.5,39,79.5
2005-06-23,4.79175,50.125,16,77.5
2005-06-24,1.999875,9.5,16,76.7
2005-06-25,2.33325,10.625,17,76.7
2005-06-26,1.6665,6.25,0,78.7
2005-06-27,0.8332499999999999,3.375,12,77.4
2005-06-28,0.916625,3.75,13,80.0
2005-06-29,1.2085,4.625,40,88.2
2005-06-30,1.499875,5.5,97,-1.0
2005-07-01,2.541625,14.5,122,114.6
2005-07-02,2.5832499999999996,12.125,148,123.8
2005-07-03,1.875,7.375,157,129.8
2005-07-04,1.083375,4.25,167,123.7
2005-07-05,0.9165000000000001,3.75,160,126.8
2005-07-06,0.8751249999999999,3.625,131,123.0
2005-07-07,1.58325,6.25,117,124.9
2005-07-08,0.95825,3.875,100,110.4
2005-07-09,3.541625,24.0,89,106.6
2005-07-10,5.20825,56.875,65,101.8
2005-07-11,3.416625,21.25,64,93.3
2005-07-12,4.166499999999999,39.5,59,96.2
2005-07-13,3.916625,30.625,64,-1.0
2005-07-14,1.58325,6.5,47,89.9
2005-07-15,1.166625,4.5,33,87.2
2005-07-16,2.08325,8.25,17,76.3
2005-07-17,3.3332499999999996,21.875,12,74.1
2005-07-18,3.333125,24.5,0,72.0
2005-07-19,1.75,7.25,14,71.2
2005-07-20,3.3332499999999996,19.625,0,72.1
2005-07-21,3.208375,21.375,0,72.8
2005-07-22,2.5415,12.125,12,73.6
2005-07-23,1.083375,4.25,25,80.1
2005-07-24,0.833375,3.5,17,80.2
2005-07-25,0.91675,3.75,19,83.9
2005-07-26,1.000125,4.0,23,86.5
2005-07-27,2.41675,14.0,17,90.6
2005-07-28,3.458375,22.75,28,95.8
2005-07-29,3.125,16.75,53,103.7
2005-07-30,2.208375,10.25,67,105.0
2005-07-31,1.833375,7.75,107,109.7
2005-08-01,2.8751249999999997,14.375,105,111.2
2005-08-02,2.16675,9.0,115,110.2
2005-08-03,1.999875,8.625,80,108.9
2005-08-04,2.083375,8.25,66,106.1
2005-08-05,1.708375,7.75,66,98.8
2005-08-06,4.083375,28.875,55,93.4
2005-08-07,2.791625,13.875,65,92.3
2005-08-08,1.66675,6.5,61,86.4
2005-08-09,2.125,8.625,57,82.5
2005-08-10,2.583375,15.5,27,76.3
2005-08-11,0.6248750000000001,2.75,37,75.9
2005-08-12,1.20825,5.25,45,76.2
2005-08-13,2.875,15.625,37,75.4
2005-08-14,1.7915,8.125,43,74.8
2005-08-15,1.416625,6.0,45,75.8
2005-08-16,2.916625,14.5,40,75.8
2005-08-17,2.708375,12.625,33,77.0
2005-08-18,2.6667499999999995,12.125,32,82.7
2005-08-19,1.583375,5.875,73,93.1
2005-08-20,0.7083750000000001,3.0,80,98.1
2005-08-21,1.750125,9.375,65,98.5
2005-08-22,2.12475,9.0,63,157.3
2005-08-23,1.875125,7.125,60,112.3
2005-08-24,5.70825,101.875,70,98.6
2005-08-25,3.458375,22.375,68,92.4
2005-08-26,1.54175,6.375,61,93.2
2005-08-27,1.25,5.125,70,92.1
2005-08-28,1.291625,5.25,76,89.8
2005-08-29,1.41675,6.625,71,89.2
2005-08-30,0.7082499999999999,3.25,61,86.0
2005-08-31,4.125,49.125,48,84.0
2005-09-01,2.541625,13.875,29,79.2
2005-09-02,4.25,39.0,24,77.1
2005-09-03,3.625000000000001,27.125,15,74.2
2005-09-04,3.6252500000000003,23.5,15,74.6
2005-09-05,2.5415,11.125,14,75.0
2005-09-06,1.875,7.5,14,83.4
2005-09-07,2.0832499999999996,10.0,24,117.0
2005-09-08,1.58325,5.875,34,94.1
2005-09-09,2.7498750000000003,16.875,48,707.6
2005-09-10,4.041625,33.0,59,116.0
2005-09-11,6.291625,100.75,58,109.7
2005-09-12,5.66675,75.125,63,118.0
2005-09-13,4.541875,43.5,85,302.0
2005-09-14,3.2498749999999994,18.125,70,116.6
2005-09-15,4.541625,51.5,66,119.4
2005-09-16,3.291625,18.375,56,134.1
2005-09-17,2.458375,12.125,59,103.9
2005-09-18,2.166875,9.5,56,102.2
2005-09-19,1.625125,6.25,44,91.1
2005-09-20,1.208375,4.625,24,87.8
2005-09-21,0.749875,3.0,22,86.0
2005-09-22,1.625,6.25,24,83.7
2005-09-23,1.500125,6.25,32,82.8
2005-09-24,0.49975,2.5,29,81.4
2005-09-25,1.1665,5.0,27,81.0
2005-09-26,2.958375,15.0,37,81.3
2005-09-27,2.4582499999999996,12.0,27,76.9
2005-09-28,2.4167500000000004,10.75,25,74.6
2005-09-29,1.750125,6.875,24,73.8
2005-09-30,1.9166249999999998,8.5,12,72.2
2005-10-01,2.7082499999999996,13.125,14,72.1
2005-10-02,2.8751250000000006,14.75,12,74.9
2005-10-03,1.66675,6.75,15,74.3
2005-10-04,0.7915000000000001,3.375,21,82.7
2005-10-05,0.8335,3.5,26,81.3
2005-10-06,0.9998750000000001,4.0,23,79.5
2005-10-07,2.3751249999999997,11.75,21,78.8
2005-10-08,3.7916250000000007,25.75,18,78.1
2005-10-09,2.25,9.875,15,78.9
2005-10-10,2.12525,9.75,24,79.1
2005-10-11,1.6668749999999999,6.875,21,77.6
2005-10-12,0.375,1.75,21,76.8
2005-10-13,0.9584999999999999,3.875,0,78.0
