Date,kp,ap,sn,f107
2020-01-01,0.583375,2.5,6,71.8
2020-01-02,0.45825000000000005,2.125,12,71.9
2020-01-03,1.208375,5.0,13,71.2
2020-01-04,1.3751250000000002,5.25,12,72.2
2020-01-05,1.958375,8.125,14,71.8
2020-01-06,1.75,7.875,7,70.5
2020-01-07,1.125,4.375,4,71.6
2020-01-08,1.375,5.625,4,73.7
2020-01-09,2.458375,11.0,15,74.4
2020-01-10,1.458375,5.625,4,72.8
2020-01-11,1.2915,5.0,0,73.5
2020-01-12,0.541625,2.375,0,71.9
2020-01-13,0.416625,2.125,0,71.5
2020-01-14,0.29150000000000004,1.625,0,71.9
2020-01-15,0.79175,3.25,0,71.2
2020-01-16,1.0,4.125,0,71.8
2020-01-17,0.5415,2.5,0,70.1
2020-01-18,0.5833750000000001,2.375,0,71.3
2020-01-19,0.125,0.625,0,71.8
2020-01-20,0.08325,0.5,0,71.2
2020-01-21,1.291625,5.25,0,70.5
2020-01-22,1.45825,6.125,0,71.9
2020-01-23,0.8748750000000001,3.625,0,70.8
2020-01-24,0.2915,1.5,8,71.0
2020-01-25,0.49987500000000007,2.25,12,72.7
2020-01-26,0.66675,2.75,19,74.7
2020-01-27,0.33325000000000005,1.5,14,72.9
2020-01-28,0.95825,4.375,12,74.2
2020-01-29,1.875,8.125,12,74.3
2020-01-30,2.541625,11.5,12,74.1
2020-01-31,1.583375,7.0,12,73.9
2020-02-01,1.375,5.25,6,72.5
2020-02-02,1.374875,5.375,0,72.2
2020-02-03,0.8747500000000001,3.625,0,72.1
2020-02-04,1.41675,5.625,0,70.3
2020-02-05,1.125,4.375,0,70.6
2020-02-06,2.791625,15.0,0,71.3
2020-02-07,2.75,13.375,0,70.8
2020-02-08,1.458375,5.75,0,72.0
2020-02-09,1.5418749999999999,6.0,0,70.6
2020-02-10,1.16675,4.5,0,70.2
2020-02-11,1.208375,5.375,0,71.1
2020-02-12,1.125,4.125,0,71.6
2020-02-13,0.4165,2.0,0,71.2
2020-02-14,0.458375,1.875,0,71.3
2020-02-15,1.000125,4.125,0,70.6
2020-02-16,0.541625,2.375,0,70.5
